,Survived,Pclass,Age,Relatives,Male,Embarked_C,Embarked_Q,Embarked_S
0,0.0,1.0,0.2711736617240512,0.1,1.0,0.0,0.0,1.0
1,1.0,0.0,0.4722292033174164,0.1,0.0,1.0,0.0,0.0
2,1.0,1.0,0.32143754712239253,0.0,0.0,0.0,0.0,1.0
3,1.0,0.0,0.4345312892686604,0.1,0.0,0.0,0.0,1.0
4,0.0,1.0,0.4345312892686604,0.0,1.0,0.0,0.0,1.0
5,0.0,1.0,0.5953757225433526,0.0,1.0,0.0,1.0,0.0
6,0.0,0.0,0.6732847449107816,0.0,1.0,0.0,0.0,1.0
7,0.0,1.0,0.01985423473234481,0.4,1.0,0.0,0.0,1.0
8,1.0,1.0,0.33400351847197784,0.2,0.0,0.0,0.0,1.0
9,1.0,0.5,0.17064589092736868,0.1,0.0,1.0,0.0,0.0
10,1.0,1.0,0.04498617743151546,0.2,0.0,0.0,0.0,1.0
11,1.0,0.0,0.723548630309123,0.0,0.0,0.0,0.0,1.0
12,0.0,1.0,0.24604171902488062,0.0,1.0,0.0,0.0,1.0
13,0.0,1.0,0.4847951746670017,0.6000000000000001,1.0,0.0,0.0,1.0
14,0.0,1.0,0.17064589092736868,0.0,0.0,0.0,0.0,1.0
15,1.0,0.5,0.685850716260367,0.0,0.0,0.0,0.0,1.0
16,0.0,1.0,0.01985423473234481,0.5,1.0,0.0,1.0,0.0
17,1.0,0.5,0.4672028147775823,0.0,1.0,0.0,0.0,1.0
18,0.0,1.0,0.38426740387031916,0.1,0.0,0.0,0.0,1.0
19,1.0,1.0,0.14802714249811513,0.0,0.0,1.0,0.0,0.0
20,0.0,0.5,0.4345312892686604,0.0,1.0,0.0,0.0,1.0
21,1.0,0.5,0.4219653179190751,0.0,1.0,0.0,0.0,1.0
22,1.0,1.0,0.18321186227695402,0.0,0.0,0.0,1.0,0.0
23,1.0,0.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
24,0.0,1.0,0.09525006282985675,0.4,0.0,0.0,0.0,1.0
25,1.0,1.0,0.4722292033174164,0.6000000000000001,0.0,0.0,0.0,1.0
26,0.0,1.0,0.40688615229957276,0.0,1.0,1.0,0.0,0.0
27,0.0,0.0,0.2334757476752953,0.5,1.0,0.0,0.0,1.0
28,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
29,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
30,0.0,0.0,0.49736114601658704,0.0,1.0,1.0,0.0,0.0
31,1.0,0.0,0.4093993465694898,0.1,0.0,1.0,0.0,0.0
32,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
33,0.0,0.5,0.8240764011058055,0.0,1.0,0.0,0.0,1.0
34,0.0,0.0,0.34656948982156316,0.1,1.0,1.0,0.0,0.0
35,0.0,0.0,0.5224930887157577,0.1,1.0,0.0,0.0,1.0
36,1.0,1.0,0.2395576778084946,0.0,1.0,1.0,0.0,0.0
37,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
38,0.0,1.0,0.22090977632571,0.2,0.0,0.0,0.0,1.0
39,1.0,1.0,0.17064589092736868,0.1,0.0,1.0,0.0,0.0
40,0.0,1.0,0.49736114601658704,0.1,0.0,0.0,0.0,1.0
41,0.0,0.5,0.33400351847197784,0.1,0.0,0.0,0.0,1.0
42,0.0,1.0,0.3553656697662729,0.0,1.0,1.0,0.0,0.0
43,1.0,0.5,0.032420206081930136,0.30000000000000004,0.0,1.0,0.0,0.0
44,1.0,1.0,0.2334757476752953,0.0,0.0,0.0,1.0,0.0
45,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
46,0.0,1.0,0.5325458657954261,0.1,1.0,0.0,1.0,0.0
47,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
48,0.0,1.0,0.23598894194521236,0.2,1.0,1.0,0.0,0.0
49,0.0,1.0,0.22090977632571,0.1,0.0,0.0,0.0,1.0
50,0.0,1.0,0.08268409148027142,0.5,1.0,0.0,0.0,1.0
51,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
52,1.0,0.0,0.610454888162855,0.1,0.0,1.0,0.0,0.0
53,1.0,0.5,0.35913546117114853,0.1,0.0,0.0,0.0,1.0
54,0.0,0.0,0.8115104297562202,0.1,1.0,1.0,0.0,0.0
55,1.0,0.0,0.5853229454636845,0.0,1.0,0.0,0.0,1.0
56,1.0,0.5,0.2586076903744659,0.0,0.0,0.0,0.0,1.0
57,0.0,1.0,0.35285247549635584,0.0,1.0,1.0,0.0,0.0
58,1.0,0.5,0.05755214878110078,0.30000000000000004,0.0,0.0,0.0,1.0
59,0.0,1.0,0.1329479768786127,0.7000000000000001,1.0,0.0,0.0,1.0
60,0.0,1.0,0.2711736617240512,0.0,1.0,1.0,0.0,0.0
61,0.0,0.0,0.5601910027645137,0.1,1.0,0.0,0.0,1.0
62,0.0,1.0,0.04498617743151546,0.5,1.0,0.0,0.0,1.0
63,0.0,0.0,0.6355868308620256,0.0,1.0,1.0,0.0,0.0
64,1.0,1.0,0.21442573510932394,0.2,1.0,1.0,0.0,0.0
65,1.0,0.5,0.35913546117114853,0.0,0.0,0.0,0.0,1.0
66,0.0,1.0,0.2334757476752953,0.0,1.0,0.0,0.0,1.0
67,1.0,1.0,0.20834380497612465,0.6000000000000001,0.0,0.0,0.0,1.0
68,0.0,1.0,0.32143754712239253,0.2,1.0,0.0,0.0,1.0
69,0.0,0.5,0.39683337521990447,0.0,1.0,0.0,0.0,1.0
70,0.0,1.0,0.19577783362653933,0.7000000000000001,0.0,0.0,0.0,1.0
71,0.0,0.5,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
72,0.0,1.0,0.32143754712239253,0.1,1.0,1.0,0.0,0.0
73,1.0,1.0,0.39683337521990447,0.0,1.0,0.0,0.0,1.0
74,0.0,1.0,0.3088715757728072,0.0,1.0,0.0,0.0,1.0
75,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
76,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
77,1.0,0.5,0.005152048253329982,0.2,1.0,0.0,0.0,1.0
78,1.0,1.0,0.37170143252073384,0.0,0.0,0.0,0.0,1.0
79,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
80,1.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
81,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
82,0.0,0.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
83,1.0,0.5,0.20834380497612465,0.0,0.0,0.0,0.0,1.0
84,1.0,1.0,0.4093993465694898,0.30000000000000004,0.0,0.0,0.0,1.0
85,0.0,1.0,0.19577783362653933,0.4,1.0,0.0,0.0,1.0
86,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
87,1.0,0.0,0.2837396330736366,0.5,0.0,0.0,0.0,1.0
88,0.0,1.0,0.2963056044232219,0.0,1.0,0.0,0.0,1.0
89,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
90,0.0,1.0,0.24604171902488062,0.0,1.0,0.0,0.0,1.0
91,0.0,0.0,0.5727569741140991,0.1,1.0,0.0,0.0,1.0
92,0.0,1.0,0.32143754712239253,0.30000000000000004,1.0,0.0,0.0,1.0
93,0.0,1.0,0.7361146016587082,0.0,1.0,0.0,0.0,1.0
94,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
95,0.0,0.0,0.8869062578537321,0.0,1.0,1.0,0.0,0.0
96,1.0,0.0,0.2837396330736366,0.1,1.0,1.0,0.0,0.0
97,1.0,0.5,0.4219653179190751,0.1,0.0,0.0,0.0,1.0
98,0.0,0.5,0.4219653179190751,0.1,1.0,0.0,0.0,1.0
99,0.0,1.0,0.34656948982156316,0.0,0.0,0.0,0.0,1.0
100,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
101,0.0,0.0,0.2586076903744659,0.1,1.0,0.0,0.0,1.0
102,0.0,1.0,0.4093993465694898,0.0,1.0,0.0,0.0,1.0
103,0.0,1.0,0.4596632319678311,0.2,1.0,0.0,0.0,1.0
104,0.0,1.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
105,1.0,1.0,0.2586076903744659,0.0,0.0,0.0,0.0,1.0
106,1.0,1.0,0.3742146267906509,0.0,1.0,0.0,0.0,1.0
107,0.0,1.0,0.4722292033174164,0.0,1.0,0.0,0.0,1.0
108,1.0,1.0,0.21588338778587585,0.1,0.0,0.0,1.0,0.0
109,0.0,0.0,0.5853229454636844,0.0,1.0,0.0,0.0,1.0
110,0.0,1.0,0.17692887660216136,0.1,0.0,1.0,0.0,0.0
111,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
112,0.0,1.0,0.24604171902488062,0.1,0.0,0.0,0.0,1.0
113,0.0,1.0,0.20834380497612465,0.0,0.0,1.0,0.0,0.0
114,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
115,0.0,1.0,0.8806232721789394,0.0,1.0,0.0,1.0,0.0
116,0.0,0.5,0.35913546117114853,0.1,1.0,0.0,0.0,1.0
117,0.0,0.0,0.2963056044232219,0.1,1.0,1.0,0.0,0.0
118,0.0,1.0,0.01985423473234481,0.6000000000000001,0.0,0.0,0.0,1.0
119,0.0,0.5,0.2586076903744659,0.2,1.0,0.0,0.0,1.0
120,0.0,1.0,0.4772555918572506,0.0,1.0,0.0,0.0,1.0
121,0.0,0.5,0.40311636089469716,0.1,1.0,1.0,0.0,0.0
122,1.0,0.5,0.40311636089469716,0.0,0.0,0.0,0.0,1.0
123,0.0,0.0,0.6732847449107816,0.1,1.0,0.0,0.0,1.0
124,1.0,1.0,0.14551394822819805,0.1,1.0,1.0,0.0,0.0
125,0.0,1.0,0.5953757225433526,0.0,1.0,0.0,1.0,0.0
126,1.0,1.0,0.2963056044232219,0.0,1.0,0.0,0.0,1.0
127,1.0,1.0,0.14488564966071876,0.2,0.0,1.0,0.0,0.0
128,0.0,1.0,0.5601910027645137,0.0,1.0,0.0,0.0,1.0
129,0.0,1.0,0.4093993465694898,0.0,1.0,1.0,0.0,0.0
130,0.0,1.0,0.24604171902488062,0.0,1.0,0.0,0.0,1.0
131,0.0,1.0,0.5853229454636844,0.1,0.0,0.0,0.0,1.0
132,1.0,0.5,0.35913546117114853,0.1,0.0,0.0,0.0,1.0
133,0.0,0.5,0.3088715757728072,0.0,1.0,0.0,0.0,1.0
134,0.0,0.5,0.2837396330736366,0.0,1.0,1.0,0.0,0.0
135,1.0,0.0,0.2334757476752953,0.2,0.0,0.0,0.0,1.0
136,0.0,0.0,0.4596632319678311,0.1,1.0,0.0,0.0,1.0
137,0.0,1.0,0.19577783362653933,0.0,1.0,0.0,0.0,1.0
138,0.0,0.0,0.2963056044232219,0.0,1.0,1.0,0.0,0.0
139,0.0,1.0,0.25483789896959036,0.2,0.0,1.0,0.0,0.0
140,1.0,1.0,0.2711736617240512,0.0,0.0,0.0,0.0,1.0
141,1.0,1.0,0.2963056044232219,0.1,0.0,0.0,0.0,1.0
142,0.0,1.0,0.2334757476752953,0.0,1.0,0.0,1.0,0.0
143,0.0,0.5,0.22090977632571,0.0,1.0,0.0,0.0,1.0
144,0.0,0.5,0.2334757476752953,0.2,1.0,0.0,0.0,1.0
145,1.0,1.0,0.33400351847197784,0.0,1.0,0.0,0.0,1.0
146,0.0,1.0,0.10781603417944208,0.4,0.0,0.0,0.0,1.0
147,0.0,0.5,0.4533802462930384,0.2,1.0,0.0,0.0,1.0
148,0.0,0.5,0.5224930887157577,0.0,1.0,0.0,0.0,1.0
149,0.0,0.5,0.6355868308620256,0.0,1.0,0.0,0.0,1.0
150,1.0,0.0,0.2711736617240512,0.1,0.0,0.0,0.0,1.0
151,0.0,1.0,0.6921337019351597,0.0,1.0,0.0,0.0,1.0
152,0.0,1.0,0.5036441316913798,0.2,1.0,0.0,0.0,1.0
153,0.0,1.0,0.3855240010052777,0.0,1.0,0.0,0.0,1.0
154,0.0,0.0,0.6355868308620256,0.1,1.0,1.0,0.0,0.0
155,1.0,1.0,0.19577783362653933,0.0,0.0,0.0,1.0,0.0
156,0.0,1.0,0.37170143252073384,0.0,1.0,0.0,0.0,1.0
157,0.0,1.0,0.2787132445338024,0.0,1.0,0.0,0.0,1.0
158,0.0,1.0,0.105302839909525,1.0,1.0,0.0,0.0,1.0
159,0.0,1.0,0.5476250314149284,0.1,1.0,0.0,0.0,1.0
160,1.0,0.5,0.49736114601658704,0.0,0.0,0.0,0.0,1.0
161,0.0,1.0,0.32143754712239253,0.0,1.0,0.0,0.0,1.0
162,0.0,1.0,0.20834380497612465,0.0,1.0,0.0,0.0,1.0
163,0.0,1.0,0.007288263382759488,0.5,1.0,0.0,0.0,1.0
164,1.0,1.0,0.10781603417944208,0.2,1.0,0.0,0.0,1.0
165,1.0,0.0,0.3616486554410655,0.1,0.0,0.0,0.0,1.0
166,0.0,1.0,0.5601910027645137,0.5,0.0,0.0,0.0,1.0
167,0.0,0.0,0.7009298818798693,0.0,1.0,0.0,0.0,1.0
168,0.0,1.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
169,0.0,0.0,0.7612465443578789,0.0,1.0,0.0,0.0,1.0
170,0.0,1.0,0.04498617743151546,0.5,1.0,0.0,1.0,0.0
171,1.0,1.0,0.007288263382759488,0.2,0.0,0.0,0.0,1.0
172,0.0,1.0,0.2586076903744659,0.0,1.0,0.0,0.0,1.0
173,0.0,0.0,0.6984166876099522,0.0,1.0,1.0,0.0,0.0
174,0.0,1.0,0.22090977632571,0.2,1.0,0.0,0.0,1.0
175,0.0,1.0,0.17567227946720282,0.4,1.0,0.0,0.0,1.0
176,0.0,0.0,0.6230208595124404,0.0,0.0,1.0,0.0,0.0
177,0.0,0.5,0.37170143252073384,0.0,1.0,0.0,0.0,1.0
178,0.0,1.0,0.4470972606182458,0.0,1.0,0.0,0.0,1.0
179,0.0,1.0,0.19075144508670522,1.0,0.0,0.0,0.0,1.0
180,0.0,0.5,0.3729580296556924,0.0,1.0,1.0,0.0,0.0
181,0.0,1.0,0.10781603417944208,0.6000000000000001,1.0,0.0,0.0,1.0
182,1.0,0.5,0.007288263382759488,0.30000000000000004,1.0,0.0,0.0,1.0
183,1.0,1.0,0.04498617743151546,0.2,0.0,0.0,0.0,1.0
184,0.0,0.0,0.5149535059060065,0.0,1.0,0.0,0.0,1.0
185,1.0,1.0,0.21588338778587585,0.1,0.0,0.0,1.0,0.0
186,1.0,0.0,0.5601910027645137,0.0,1.0,0.0,0.0,1.0
187,0.0,1.0,0.49736114601658704,0.2,1.0,0.0,1.0,0.0
188,0.0,1.0,0.4470972606182458,0.0,1.0,0.0,0.0,1.0
189,1.0,0.5,0.39683337521990447,0.0,0.0,0.0,0.0,1.0
190,0.0,0.5,0.2334757476752953,0.0,1.0,0.0,0.0,1.0
191,1.0,1.0,0.2334757476752953,0.1,0.0,0.0,0.0,1.0
192,1.0,0.5,0.032420206081930136,0.2,1.0,0.0,0.0,1.0
193,1.0,0.0,0.5476250314149284,0.0,0.0,1.0,0.0,0.0
194,1.0,0.0,0.723548630309123,0.0,0.0,1.0,0.0,0.0
195,0.0,1.0,0.5953757225433526,0.0,1.0,0.0,1.0,0.0
196,0.0,1.0,0.5224930887157577,0.1,1.0,0.0,0.0,1.0
197,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
198,0.0,0.5,0.2963056044232219,0.0,0.0,0.0,0.0,1.0
199,0.0,1.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
200,0.0,1.0,0.105302839909525,1.0,1.0,0.0,0.0,1.0
201,0.0,1.0,0.4219653179190751,0.0,1.0,0.0,0.0,1.0
202,0.0,1.0,0.5664739884393064,0.0,1.0,1.0,0.0,0.0
203,1.0,1.0,0.22090977632571,0.0,1.0,0.0,0.0,1.0
204,0.0,1.0,0.01985423473234481,0.1,0.0,0.0,0.0,1.0
205,0.0,1.0,0.39683337521990447,0.1,1.0,0.0,0.0,1.0
206,1.0,1.0,0.32143754712239253,0.0,1.0,1.0,0.0,0.0
207,1.0,1.0,0.19577783362653933,0.0,0.0,0.0,1.0,0.0
208,1.0,0.0,0.49736114601658704,0.0,1.0,1.0,0.0,0.0
209,0.0,1.0,0.2963056044232219,0.0,1.0,0.0,0.0,1.0
210,1.0,0.5,0.4345312892686604,0.0,0.0,0.0,0.0,1.0
211,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
212,0.0,0.5,0.37170143252073384,0.0,1.0,0.0,0.0,1.0
213,0.0,1.0,0.5953757225433526,0.1,1.0,0.0,1.0,0.0
214,1.0,0.0,0.38426740387031916,0.1,0.0,1.0,0.0,0.0
215,1.0,1.0,0.33400351847197784,0.0,0.0,0.0,0.0,1.0
216,0.0,0.5,0.5224930887157577,0.1,1.0,0.0,0.0,1.0
217,1.0,0.0,0.39683337521990447,0.0,0.0,1.0,0.0,0.0
218,0.0,0.5,0.37170143252073384,0.0,1.0,0.0,0.0,1.0
219,1.0,1.0,0.19577783362653933,0.0,1.0,0.0,0.0,1.0
220,0.0,0.5,0.33400351847197784,0.0,1.0,0.0,0.0,1.0
221,0.0,1.0,0.6355868308620256,0.0,1.0,0.0,0.0,1.0
222,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
223,1.0,0.0,0.4722292033174164,0.1,1.0,0.0,0.0,1.0
224,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
225,1.0,0.5,0.2334757476752953,0.0,1.0,0.0,0.0,1.0
226,0.0,1.0,0.2523247046996733,0.0,1.0,0.0,0.0,1.0
227,0.0,0.5,0.22090977632571,0.0,1.0,0.0,0.0,1.0
228,0.0,1.0,0.23850213621512945,0.4,0.0,0.0,0.0,1.0
229,1.0,0.0,0.4345312892686604,0.1,0.0,0.0,0.0,1.0
230,0.0,1.0,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
231,0.0,0.5,0.7361146016587082,0.0,1.0,0.0,0.0,1.0
232,1.0,1.0,0.05755214878110078,0.6000000000000001,0.0,0.0,0.0,1.0
233,0.0,0.5,0.2963056044232219,0.0,1.0,0.0,0.0,1.0
234,0.0,1.0,0.32897712993214373,0.0,0.0,0.0,0.0,1.0
235,0.0,0.5,0.5476250314149284,0.1,1.0,0.0,0.0,1.0
236,1.0,0.5,0.09525006282985675,0.2,0.0,0.0,0.0,1.0
237,0.0,0.5,0.2334757476752953,0.0,1.0,0.0,0.0,1.0
238,0.0,0.5,0.4093993465694898,0.0,1.0,0.0,0.0,1.0
239,0.0,1.0,0.25483789896959036,0.1,0.0,1.0,0.0,0.0
240,1.0,1.0,0.21588338778587585,0.1,0.0,0.0,1.0,0.0
241,0.0,0.5,0.35913546117114853,0.0,1.0,0.0,0.0,1.0
242,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
243,0.0,1.0,0.37170143252073384,0.0,1.0,1.0,0.0,0.0
244,0.0,0.0,0.5476250314149284,0.2,1.0,0.0,1.0,0.0
245,0.0,1.0,0.3088715757728072,0.0,0.0,0.0,0.0,1.0
246,1.0,0.5,0.2963056044232219,0.2,0.0,0.0,0.0,1.0
247,1.0,0.0,0.4596632319678311,0.2,1.0,0.0,0.0,1.0
248,0.0,0.5,0.6732847449107816,0.1,1.0,0.0,0.0,1.0
249,0.0,1.0,0.38552400100527767,0.0,1.0,0.0,0.0,1.0
250,0.0,1.0,0.35913546117114853,0.2,0.0,0.0,0.0,1.0
251,0.0,0.0,0.7738125157074642,0.0,1.0,0.0,0.0,1.0
252,0.0,1.0,0.37170143252073384,0.1,1.0,0.0,0.0,1.0
253,0.0,1.0,0.5099271173661725,0.2,0.0,0.0,0.0,1.0
254,1.0,1.0,0.35913546117114853,0.2,0.0,1.0,0.0,0.0
255,1.0,0.0,0.3314903242020608,0.0,0.0,1.0,0.0,0.0
256,1.0,0.0,0.37170143252073384,0.0,0.0,0.0,0.0,1.0
257,1.0,0.0,0.4345312892686604,0.0,0.0,1.0,0.0,0.0
258,1.0,0.5,0.6230208595124404,0.1,0.0,0.0,0.0,1.0
259,0.0,1.0,0.5953757225433526,0.0,1.0,0.0,1.0,0.0
260,1.0,1.0,0.032420206081930136,0.6000000000000001,1.0,0.0,0.0,1.0
261,0.0,0.0,0.648152802211611,0.2,1.0,0.0,0.0,1.0
262,0.0,0.0,0.49736114601658704,0.0,1.0,0.0,0.0,1.0
263,0.0,1.0,0.3478260869565217,0.0,0.0,0.0,1.0,0.0
264,0.0,0.5,0.4470972606182458,0.0,1.0,0.0,0.0,1.0
265,0.0,1.0,0.19577783362653933,0.5,1.0,0.0,0.0,1.0
266,1.0,1.0,0.3088715757728072,0.1,1.0,0.0,0.0,1.0
267,1.0,0.0,0.723548630309123,0.1,0.0,0.0,0.0,1.0
268,1.0,0.0,0.4345312892686604,0.0,0.0,0.0,0.0,1.0
269,0.0,0.0,0.626790650917316,0.0,1.0,0.0,0.0,1.0
270,1.0,1.0,0.3088715757728072,0.0,1.0,0.0,0.0,1.0
271,1.0,0.5,0.5099271173661725,0.1,0.0,0.0,0.0,1.0
272,0.0,0.0,0.4596632319678311,0.1,1.0,1.0,0.0,0.0
273,1.0,1.0,0.21588338778587585,0.0,0.0,0.0,1.0,0.0
274,1.0,0.0,0.7863784870570495,0.1,0.0,0.0,0.0,1.0
275,0.0,1.0,0.5601910027645137,0.0,0.0,0.0,0.0,1.0
276,0.0,0.5,0.4219653179190751,0.0,1.0,0.0,0.0,1.0
277,0.0,1.0,0.08268409148027142,0.5,1.0,0.0,1.0,0.0
278,1.0,1.0,0.4345312892686604,0.2,0.0,0.0,0.0,1.0
279,0.0,1.0,0.8115104297562202,0.0,1.0,0.0,1.0,0.0
280,0.0,1.0,0.34656948982156316,0.0,1.0,0.0,0.0,1.0
281,0.0,1.0,0.19577783362653933,0.0,1.0,0.0,0.0,1.0
282,1.0,1.0,0.2334757476752953,0.0,1.0,0.0,0.0,1.0
283,0.0,0.0,0.7009298818798693,0.0,1.0,0.0,0.0,1.0
284,0.0,1.0,0.4093993465694898,0.0,1.0,1.0,0.0,0.0
285,1.0,1.0,0.37170143252073384,0.0,1.0,0.0,0.0,1.0
286,0.0,1.0,0.2711736617240512,0.0,1.0,0.0,0.0,1.0
287,1.0,0.5,0.5224930887157577,0.0,1.0,0.0,0.0,1.0
288,1.0,1.0,0.2711736617240512,0.0,0.0,0.0,1.0,0.0
289,1.0,0.0,0.32143754712239253,0.0,0.0,0.0,0.0,1.0
290,1.0,0.0,0.2334757476752953,0.1,0.0,1.0,0.0,0.0
291,0.0,0.5,0.4470972606182458,0.0,1.0,1.0,0.0,0.0
292,0.0,1.0,0.2963056044232219,0.0,0.0,0.0,0.0,1.0
293,0.0,1.0,0.2963056044232219,0.0,1.0,0.0,0.0,1.0
294,0.0,0.0,0.6355868308620256,0.0,1.0,1.0,0.0,0.0
295,0.0,1.0,0.2900226187484292,0.0,1.0,1.0,0.0,0.0
